SC_Family,SC_Family_Name,Control_Name,Main_Control,Control_Enhancement_Name,Control_Enhancement,Combined
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,CORRELATION WITH PHYSICAL MONITORING,6,AU-6-6
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,PERMITTED ACTIONS,7,AU-6-7
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,AUDIT LEVEL ADJUSTMENT,10,AU-6-10
AU,Audit and Accountability,AUDIT REDUCTION AND REPORT GENERATION,AU-7,NA,0,AU-7-0
AU,Audit and Accountability,AUDIT REDUCTION AND REPORT GENERATION,AU-7,AUTOMATIC PROCESSING,1,AU-7-1
AU,Audit and Accountability,TIME STAMPS,AU-8,NA,0,AU-8-0
AU,Audit and Accountability,TIME STAMPS,AU-8,SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,1,AU-8-1
AU,Audit and Accountability,PROTECTION OF AUDIT INFORMATION,AU-9,NA,0,AU-9-0
AU,Audit and Accountability,PROTECTION OF AUDIT INFORMATION,AU-9,AUDIT BACKUP ON SEPARATE PHYSICAL SYSTEMS / COMPONENTS,2,AU-9-2
AU,Audit and Accountability,PROTECTION OF AUDIT INFORMATION,AU-9,CRYPTOGRAPHIC PROTECTION,3,AU-9-3
AU,Audit and Accountability,PROTECTION OF AUDIT INFORMATION,AU-9,ACCESS BY SUBSET OF PRIVILEGED USERS,4,AU-9-4
AU,Audit and Accountability,NON-REPUDIATION,AU-10,NA,0,AU-10-0
AU,Audit and Accountability,AUDIT RECORD RETENTION,AU-11,NA,0,AU-11-0
AU,Audit and Accountability,AUDIT GENERATION,AU-12,NA,0,AU-12-0
AU,Audit and Accountability,AUDIT GENERATION,AU-12,SYSTEM-WIDE / TIME-CORRELATED AUDIT TRAIL,1,AU-12-1
AU,Audit and Accountability,AUDIT GENERATION,AU-12,CHANGES BY AUTHORIZED INDIVIDUALS,3,AU-12-3
CA,Security Assessment and Authorization,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,CA-1,NA,0,CA-1-0
CA,Security Assessment and Authorization,SECURITY ASSESSMENTS,CA-2,NA,0,CA-2-0
CA,Security Assessment and Authorization,SECURITY ASSESSMENTS,CA-2,INDEPENDENT ASSESSORS,1,CA-2-1
CA,Security Assessment and Authorization,SECURITY ASSESSMENTS,CA-2,SPECIALIZED ASSESSMENTS,2,CA-2-2
CA,Security Assessment and Authorization,SECURITY ASSESSMENTS,CA-2,EXTERNAL ORGANIZATIONS,3,CA-2-3
CA,Security Assessment and Authorization,SYSTEM INTERCONNECTIONS,CA-3,NA,0,CA-3-0
CA,Security Assessment and Authorization,SYSTEM INTERCONNECTIONS,CA-3,UNCLASSIFIED NON-NATIONAL SECURITY SYSTEM CONNECTIONS,3,CA-3-3
CA,Security Assessment and Authorization,SYSTEM INTERCONNECTIONS,CA-3,RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,5,CA-3-5
CA,Security Assessment and Authorization,PLAN OF ACTION AND MILESTONES,CA-5,NA,0,CA-5-0
CA,Security Assessment and Authorization,SECURITY AUTHORIZATION,CA-6,NA,0,CA-6-0
CA,Security Assessment and Authorization,CONTINUOUS MONITORING,CA-7,NA,0,CA-7-0
CA,Security Assessment and Authorization,CONTINUOUS MONITORING,CA-7,INDEPENDENT ASSESSMENT,1,CA-7-1
CA,Security Assessment and Authorization,CONTINUOUS MONITORING,CA-7,TREND ANALYSES,3,CA-7-3
CA,Security Assessment and Authorization,PENETRATION TESTING,CA-8,NA,0,CA-8-0
CA,Security Assessment and Authorization,PENETRATION TESTING,CA-8,INDEPENDENT PENETRATION AGENT OR TEAM,1,CA-8-1
CA,Security Assessment and Authorization,INTERNAL SYSTEM CONNECTIONS,CA-9,NA,0,CA-9-0
CM,Configuration Management,CONFIGURATION MANAGEMENT POLICY AND PROCEDURES,CM-1,NA,0,CM-1-0
CM,Configuration Management,BASELINE CONFIGURATION,CM-2,NA,0,CM-2-0
CM,Configuration Management,BASELINE CONFIGURATION,CM-2,REVIEWS AND UPDATES,1,CM-2-1
CM,Configuration Management,BASELINE CONFIGURATION,CM-2,AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,2,CM-2-2
CM,Configuration Management,BASELINE CONFIGURATION,CM-2,RETENTION OF PREVIOUS CONFIGURATIONS,3,CM-2-3
CM,Configuration Management,BASELINE CONFIGURATION,CM-2,"CONFIGURE SYSTEMS, COMPONENTS, OR DEVICES FOR HIGH-RISK AREAS",7,CM-2-7
CM,Configuration Management,CONFIGURATION CHANGE CONTROL,CM-3,NA,0,CM-3-0
CM,Configuration Management,CONFIGURATION CHANGE CONTROL,CM-3,AUTOMATED DOCUMENT / NOTIFICATION / PROHIBITION OF CHANGES,1,CM-3-1
CM,Configuration Management,CONFIGURATION CHANGE CONTROL,CM-3,TEST / VALIDATE / DOCUMENT CHANGES,2,CM-3-2
CM,Configuration Management,CONFIGURATION CHANGE CONTROL,CM-3,SECURITY REPRESENTATIVE,4,CM-3-4
CM,Configuration Management,CONFIGURATION CHANGE CONTROL,CM-3,CRYPTOGRAPHY MANAGEMENT,6,CM-3-6
CM,Configuration Management,SECURITY IMPACT ANALYSIS,CM-4,NA,0,CM-4-0
CM,Configuration Management,SECURITY IMPACT ANALYSIS,CM-4,SEPARATE TEST ENVIRONMENTS,1,CM-4-1
CM,Configuration Management,ACCESS RESTRICTIONS FOR CHANGE,CM-5,NA,0,CM-5-0
CM,Configuration Management,ACCESS RESTRICTIONS FOR CHANGE,CM-5,AUTOMATED ACCESS ENFORCEMENT / AUDITING,1,CM-5-1
CM,Configuration Management,ACCESS RESTRICTIONS FOR CHANGE,CM-5,REVIEW SYSTEM CHANGES,2,CM-5-2
CM,Configuration Management,ACCESS RESTRICTIONS FOR CHANGE,CM-5,SIGNED COMPONENTS,3,CM-5-3
CM,Configuration Management,ACCESS RESTRICTIONS FOR CHANGE,CM-5,LIMIT PRODUCTION / OPERATIONAL PRIVILEGES,5,CM-5-5
CM,Configuration Management,CONFIGURATION SETTINGS,CM-6,NA,0,CM-6-0
CM,Configuration Management,CONFIGURATION SETTINGS,CM-6,AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,1,CM-6-1
CM,Configuration Management,CONFIGURATION SETTINGS,CM-6,RESPOND TO UNAUTHORIZED CHANGES,2,CM-6-2
CM,Configuration Management,LEAST FUNCTIONALITY,CM-7,NA,0,CM-7-0
CM,Configuration Management,LEAST FUNCTIONALITY,CM-7,PERIODIC REVIEW,1,CM-7-1
CM,Configuration Management,LEAST FUNCTIONALITY,CM-7,PREVENT PROGRAM EXECUTION,2,CM-7-2
CM,Configuration Management,LEAST FUNCTIONALITY,CM-7,AUTHORIZED SOFTWARE / WHITELISTING,5,CM-7-5
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,NA,0,CM-8-0
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,UPDATES DURING INSTALLATIONS / REMOVALS,1,CM-8-1
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,AUTOMATED MAINTENANCE,2,CM-8-2
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,AUTOMATED UNAUTHORIZED COMPONENT DETECTION,3,CM-8-3
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,ACCOUNTABILITY INFORMATION,4,CM-8-4
CM,Configuration Management,INFORMATION SYSTEM COMPONENT INVENTORY,CM-8,NO DUPLICATE ACCOUNTING OF COMPONENTS,5,CM-8-5
CM,Configuration Management,CONFIGURATION MANAGEMENT PLAN,CM-9,NA,0,CM-9-0
CM,Configuration Management,SOFTWARE USAGE RESTRICTIONS,CM-10,NA,0,CM-10-0
CM,Configuration Management,SOFTWARE USAGE RESTRICTIONS,CM-10,OPEN SOURCE SOFTWARE,1,CM-10-1
CM,Configuration Management,USER-INSTALLED SOFTWARE,CM-11,NA,0,CM-11-0
CM,Configuration Management,USER-INSTALLED SOFTWARE,CM-11,ALERTS FOR UNAUTHORIZED INSTALLATIONS,1,CM-11-1
CP,Contingency Planning,CONTINGENCY PLANNING POLICY AND PROCEDURES,CP-1,NA,0,CP-1-0
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,NA,0,CP-2-0
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,COORDINATE WITH RELATED PLANS,1,CP-2-1
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,CAPACITY PLANNING,2,CP-2-2
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,RESUME ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,3,CP-2-3
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,RESUME ALL MISSIONS / BUSINESS FUNCTIONS,4,CP-2-4
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,CONTINUE ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,5,CP-2-5
CP,Contingency Planning,CONTINGENCY PLAN,CP-2,IDENTIFY CRITICAL ASSETS,8,CP-2-8
CP,Contingency Planning,CONTINGENCY TRAINING,CP-3,NA,0,CP-3-0
CP,Contingency Planning,CONTINGENCY TRAINING,CP-3,SIMULATED EVENTS,1,CP-3-1
CP,Contingency Planning,CONTINGENCY PLAN TESTING,CP-4,NA,0,CP-4-0
CP,Contingency Planning,CONTINGENCY PLAN TESTING,CP-4,COORDINATE WITH RELATED PLANS,1,CP-4-1
CP,Contingency Planning,CONTINGENCY PLAN TESTING,CP-4,ALTERNATE PROCESSING SITE,2,CP-4-2
CP,Contingency Planning,ALTERNATE STORAGE SITE,CP-6,NA,0,CP-6-0
CP,Contingency Planning,ALTERNATE STORAGE SITE,CP-6,SEPARATION FROM PRIMARY SITE,1,CP-6-1
CP,Contingency Planning,ALTERNATE STORAGE SITE,CP-6,RECOVERY TIME / POINT OBJECTIVES,2,CP-6-2
CP,Contingency Planning,ALTERNATE STORAGE SITE,CP-6,ACCESSIBILITY,3,CP-6-3
CP,Contingency Planning,ALTERNATE PROCESSING SITE,CP-7,NA,0,CP-7-0
CP,Contingency Planning,ALTERNATE PROCESSING SITE,CP-7,SEPARATION FROM PRIMARY SITE,1,CP-7-1
CP,Contingency Planning,ALTERNATE PROCESSING SITE,CP-7,ACCESSIBILITY,2,CP-7-2
CP,Contingency Planning,ALTERNATE PROCESSING SITE,CP-7,PRIORITY OF SERVICE,3,CP-7-3
CP,Contingency Planning,ALTERNATE PROCESSING SITE,CP-7,PREPARATION FOR USE,4,CP-7-4
CP,Contingency Planning,TELECOMMUNICATIONS SERVICES,CP-8,NA,0,CP-8-0
CP,Contingency Planning,TELECOMMUNICATIONS SERVICES,CP-8,PRIORITY OF SERVICE PROVISIONS,1,CP-8-1
CP,Contingency Planning,TELECOMMUNICATIONS SERVICES,CP-8,SINGLE POINTS OF FAILURE,2,CP-8-2
CP,Contingency Planning,TELECOMMUNICATIONS SERVICES,CP-8,SEPARATION OF PRIMARY / ALTERNATE PROVIDERS,3,CP-8-3
CP,Contingency Planning,TELECOMMUNICATIONS SERVICES,CP-8,PROVIDER CONTINGENCY PLAN,4,CP-8-4
CP,Contingency Planning,INFORMATION SYSTEM BACKUP,CP-9,NA,0,CP-9-0
CP,Contingency Planning,INFORMATION SYSTEM BACKUP,CP-9,TESTING FOR RELIABILITY / INTEGRITY,1,CP-9-1
CP,Contingency Planning,INFORMATION SYSTEM BACKUP,CP-9,TEST RESTORATION USING SAMPLING,2,CP-9-2
CP,Contingency Planning,INFORMATION SYSTEM BACKUP,CP-9,SEPARATE STORAGE FOR CRITICAL INFORMATION,3,CP-9-3
CP,Contingency Planning,INFORMATION SYSTEM BACKUP,CP-9,TRANSFER TO ALTERNATE STORAGE SITE,5,CP-9-5
CP,Contingency Planning,INFORMATION SYSTEM RECOVERY AND RECONSTITUTION,CP-10,NA,0,CP-10-0
CP,Contingency Planning,INFORMATION SYSTEM RECOVERY AND RECONSTITUTION,CP-10,TRANSACTION RECOVERY,2,CP-10-2
CP,Contingency Planning,INFORMATION SYSTEM RECOVERY AND RECONSTITUTION,CP-10,RESTORE WITHIN TIME PERIOD,4,CP-10-4
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION POLICY AND PROCEDURES,IA-1,NA,0,IA-1-0
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,NA,0,IA-2-0
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,NETWORK ACCESS TO PRIVILEGED ACCOUNTS,1,IA-2-1
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS,2,IA-2-2
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,LOCAL ACCESS TO PRIVILEGED ACCOUNTS,3,IA-2-3
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,LOCAL ACCESS TO NON-PRIVILEGED ACCOUNTS,4,IA-2-4
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,GROUP AUTHENTICATION,5,IA-2-5
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,NETWORK ACCESS TO PRIVILEGED ACCOUNTS - REPLAY RESISTANT,8,IA-2-8
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS - REPLAY RESISTANT,9,IA-2-9
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,REMOTE ACCESS - SEPARATE DEVICE,11,IA-2-11
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),IA-2,ACCEPTANCE OF PIV CREDENTIALS,12,IA-2-12
IA,Identification and Authentication,DEVICE IDENTIFICATION AND AUTHENTICATION,IA-3,NA,0,IA-3-0
IA,Identification and Authentication,IDENTIFIER MANAGEMENT,IA-4,NA,0,IA-4-0
IA,Identification and Authentication,IDENTIFIER MANAGEMENT,IA-4,IDENTIFY USER STATUS,4,IA-4-4
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,NA,0,IA-5-0
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,PASSWORD-BASED AUTHENTICATION,1,IA-5-1
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,PKI-BASED AUTHENTICATION,2,IA-5-2
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,IN-PERSON OR TRUSTED THIRD- PARTY REGISTRATION,3,IA-5-3
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,AUTOMATED SUPPORT FOR PASSWORD STRENGTH DETERMINATION,4,IA-5-4
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,PROTECTION OF AUTHENTICATORS,6,IA-5-6
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,NO EMBEDDED UNENCRYPTED STATIC AUTHENTICATORS,7,IA-5-7
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,MULTIPLE INFORMATION SYSTEM ACCOUNTS,8,IA-5-8
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,HARDWARE TOKEN-BASED AUTHENTICATION,11,IA-5-11
IA,Identification and Authentication,AUTHENTICATOR MANAGEMENT,IA-5,EXPIRATION OF CACHED AUTHENTICATORS,13,IA-5-13
IA,Identification and Authentication,AUTHENTICATOR FEEDBACK,IA-6,NA,0,IA-6-0
IA,Identification and Authentication,CRYPTOGRAPHIC MODULE AUTHENTICATION,IA-7,NA,0,IA-7-0
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),IA-8,NA,0,IA-8-0
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),IA-8,USERS) | ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,1,IA-8-1
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),IA-8,USERS) | ACCEPTANCE OF THIRD-PARTY CREDENTIALS,2,IA-8-2
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),IA-8,USERS) | USE OF FICAM-APPROVED PRODUCTS,3,IA-8-3
IA,Identification and Authentication,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),IA-8,USERS) | USE OF FICAM-ISSUED PROFILES,4,IA-8-4
IR,Incident Response,INCIDENT RESPONSE POLICY AND PROCEDURES,IR-1,NA,0,IR-1-0
IR,Incident Response,INCIDENT RESPONSE TRAINING,IR-2,NA,0,IR-2-0
IR,Incident Response,INCIDENT RESPONSE TRAINING,IR-2,SIMULATED EVENTS,1,IR-2-1
IR,Incident Response,INCIDENT RESPONSE TRAINING,IR-2,AUTOMATED TRAINING ENVIRONMENTS,2,IR-2-2
IR,Incident Response,INCIDENT RESPONSE TESTING,IR-3,NA,0,IR-3-0
IR,Incident Response,INCIDENT RESPONSE TESTING,IR-3,COORDINATION WITH RELATED PLANS,2,IR-3-2
IR,Incident Response,INCIDENT HANDLING,IR-4,NA,0,IR-4-0
IR,Incident Response,INCIDENT HANDLING,IR-4,AUTOMATED INCIDENT HANDLING PROCESSES,1,IR-4-1
IR,Incident Response,INCIDENT HANDLING,IR-4,DYNAMIC RECONFIGURATION,2,IR-4-2
IR,Incident Response,INCIDENT HANDLING,IR-4,CONTINUITY OF OPERATIONS,3,IR-4-3
IR,Incident Response,INCIDENT HANDLING,IR-4,INFORMATION CORRELATION,4,IR-4-4
IR,Incident Response,INCIDENT HANDLING,IR-4,INSIDER THREATS - SPECIFIC CAPABILITIES,6,IR-4-6
IR,Incident Response,INCIDENT HANDLING,IR-4,CORRELATION WITH EXTERNAL ORGANIZATIONS,8,IR-4-8
IR,Incident Response,INCIDENT MONITORING,IR-5,NA,0,IR-5-0
IR,Incident Response,INCIDENT MONITORING,IR-5,AUTOMATED TRACKING / DATA COLLECTION / ANALYSIS,1,IR-5-1
IR,Incident Response,INCIDENT REPORTING,IR-6,NA,0,IR-6-0
IR,Incident Response,INCIDENT REPORTING,IR-6,AUTOMATED REPORTING,1,IR-6-1
IR,Incident Response,INCIDENT RESPONSE ASSISTANCE,IR-7,NA,0,IR-7-0
IR,Incident Response,INCIDENT RESPONSE ASSISTANCE,IR-7,AUTOMATION SUPPORT FOR AVAILABILITY OF INFORMATION / SUPPORT,1,IR-7-1
IR,Incident Response,INCIDENT RESPONSE ASSISTANCE,IR-7,COORDINATION WITH EXTERNAL PROVIDERS,2,IR-7-2
